grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
SCHOOLBUS,SHARED3,0.0,Work
All,SHARED3,942234.0,Work
DRIVEALONE,WALK,0.0,Work
SHARED2,WALK,0.0,Work
SHARED3,WALK,0.0,Work
WALK,WALK,163838.0,Work
BIKE,WALK,0.0,Work
WALK-TRANSIT,WALK,0.0,Work
PNR-TRANSIT,WALK,0.0,Work
KNR-TRANSIT,WALK,0.0,Work
TNC-TRANSIT,WALK,0.0,Work
TAXI,WALK,0.0,Work
TNC-REG,WALK,0.0,Work
TNC-SHARED,WALK,0.0,Work
SCHOOLBUS,WALK,0.0,Work
All,WALK,163838.0,Work
DRIVEALONE,BIKE,0.0,Work
SHARED2,BIKE,0.0,Work
SHARED3,BIKE,0.0,Work
WALK,BIKE,0.0,Work
BIKE,BIKE,101821.0,Work
WALK-TRANSIT,BIKE,0.0,Work
PNR-TRANSIT,BIKE,0.0,Work
KNR-TRANSIT,BIKE,0.0,Work
TNC-TRANSIT,BIKE,0.0,Work
TAXI,BIKE,0.0,Work
TNC-REG,BIKE,0.0,Work
TNC-SHARED,BIKE,0.0,Work
SCHOOLBUS,BIKE,0.0,Work
All,BIKE,101821.0,Work
DRIVEALONE,WALK-TRANSIT,0.0,Work
SHARED2,WALK-TRANSIT,0.0,Work
SHARED3,WALK-TRANSIT,0.0,Work
WALK,WALK-TRANSIT,187300.0,Work
BIKE,WALK-TRANSIT,0.0,Work
WALK-TRANSIT,WALK-TRANSIT,688002.0,Work
PNR-TRANSIT,WALK-TRANSIT,0.0,Work
KNR-TRANSIT,WALK-TRANSIT,0.0,Work
TNC-TRANSIT,WALK-TRANSIT,0.0,Work
TAXI,WALK-TRANSIT,7410.0,Work
TNC-REG,WALK-TRANSIT,15739.0,Work
TNC-SHARED,WALK-TRANSIT,8575.0,Work
SCHOOLBUS,WALK-TRANSIT,0.0,Work
All,WALK-TRANSIT,907027.0,Work
DRIVEALONE,PNR-TRANSIT,0.0,Work
SHARED2,PNR-TRANSIT,0.0,Work
SHARED3,PNR-TRANSIT,0.0,Work
WALK,PNR-TRANSIT,0.0,Work
BIKE,PNR-TRANSIT,0.0,Work
WALK-TRANSIT,PNR-TRANSIT,0.0,Work
PNR-TRANSIT,PNR-TRANSIT,189041.0,Work
KNR-TRANSIT,PNR-TRANSIT,0.0,Work
TNC-TRANSIT,PNR-TRANSIT,0.0,Work
TAXI,PNR-TRANSIT,440.0,Work
TNC-REG,PNR-TRANSIT,88.0,Work
TNC-SHARED,PNR-TRANSIT,0.0,Work
SCHOOLBUS,PNR-TRANSIT,0.0,Work
All,PNR-TRANSIT,189569.0,Work
DRIVEALONE,KNR-TRANSIT,0.0,Work
SHARED2,KNR-TRANSIT,0.0,Work
SHARED3,KNR-TRANSIT,0.0,Work
WALK,KNR-TRANSIT,0.0,Work
BIKE,KNR-TRANSIT,0.0,Work
WALK-TRANSIT,KNR-TRANSIT,0.0,Work
PNR-TRANSIT,KNR-TRANSIT,0.0,Work
KNR-TRANSIT,KNR-TRANSIT,74916.0,Work
TNC-TRANSIT,KNR-TRANSIT,0.0,Work
TAXI,KNR-TRANSIT,863.0,Work
TNC-REG,KNR-TRANSIT,620.0,Work
TNC-SHARED,KNR-TRANSIT,2538.0,Work
SCHOOLBUS,KNR-TRANSIT,0.0,Work
All,KNR-TRANSIT,78937.0,Work
DRIVEALONE,TNC-TRANSIT,0.0,Work
SHARED2,TNC-TRANSIT,0.0,Work
SHARED3,TNC-TRANSIT,0.0,Work
WALK,TNC-TRANSIT,0.0,Work
BIKE,TNC-TRANSIT,0.0,Work
WALK-TRANSIT,TNC-TRANSIT,0.0,Work
PNR-TRANSIT,TNC-TRANSIT,0.0,Work
KNR-TRANSIT,TNC-TRANSIT,0.0,Work
TNC-TRANSIT,TNC-TRANSIT,11282.0,Work
TAXI,TNC-TRANSIT,1719.0,Work
TNC-REG,TNC-TRANSIT,2630.0,Work
TNC-SHARED,TNC-TRANSIT,0.0,Work
SCHOOLBUS,TNC-TRANSIT,0.0,Work
All,TNC-TRANSIT,15631.0,Work
DRIVEALONE,TAXI,0.0,Work
SHARED2,TAXI,1182.0,Work
SHARED3,TAXI,293.0,Work
WALK,TAXI,955.0,Work
BIKE,TAXI,0.0,Work
WALK-TRANSIT,TAXI,0.0,Work
PNR-TRANSIT,TAXI,0.0,Work
KNR-TRANSIT,TAXI,0.0,Work
TNC-TRANSIT,TAXI,0.0,Work
TAXI,TAXI,11663.0,Work
TNC-REG,TAXI,0.0,Work
TNC-SHARED,TAXI,0.0,Work
SCHOOLBUS,TAXI,0.0,Work
All,TAXI,14093.0,Work
DRIVEALONE,TNC-REG,0.0,Work
SHARED2,TNC-REG,4757.0,Work
SHARED3,TNC-REG,3251.0,Work
WALK,TNC-REG,15685.0,Work
BIKE,TNC-REG,0.0,Work
WALK-TRANSIT,TNC-REG,0.0,Work
PNR-TRANSIT,TNC-REG,0.0,Work
KNR-TRANSIT,TNC-REG,0.0,Work
TNC-TRANSIT,TNC-REG,0.0,Work
TAXI,TNC-REG,779.0,Work
TNC-REG,TNC-REG,28367.0,Work
TNC-SHARED,TNC-REG,0.0,Work
SCHOOLBUS,TNC-REG,0.0,Work
All,TNC-REG,52839.0,Work
DRIVEALONE,TNC-SHARED,0.0,Work
SHARED2,TNC-SHARED,1634.0,Work
SHARED3,TNC-SHARED,214.0,Work
WALK,TNC-SHARED,7939.0,Work
BIKE,TNC-SHARED,0.0,Work
WALK-TRANSIT,TNC-SHARED,0.0,Work
PNR-TRANSIT,TNC-SHARED,0.0,Work
KNR-TRANSIT,TNC-SHARED,0.0,Work
TNC-TRANSIT,TNC-SHARED,0.0,Work
TAXI,TNC-SHARED,0.0,Work
TNC-REG,TNC-SHARED,2474.0,Work
TNC-SHARED,TNC-SHARED,15995.0,Work
SCHOOLBUS,TNC-SHARED,0.0,Work
All,TNC-SHARED,28256.0,Work
DRIVEALONE,SCHOOLBUS,0.0,Work
SHARED2,SCHOOLBUS,0.0,Work
SHARED3,SCHOOLBUS,0.0,Work
WALK,SCHOOLBUS,0.0,Work
BIKE,SCHOOLBUS,0.0,Work
WALK-TRANSIT,SCHOOLBUS,0.0,Work
PNR-TRANSIT,SCHOOLBUS,0.0,Work
KNR-TRANSIT,SCHOOLBUS,0.0,Work
TNC-TRANSIT,SCHOOLBUS,0.0,Work
TAXI,SCHOOLBUS,0.0,Work
TNC-REG,SCHOOLBUS,0.0,Work
TNC-SHARED,SCHOOLBUS,0.0,Work
SCHOOLBUS,SCHOOLBUS,0.0,Work
All,SCHOOLBUS,0.0,Work
DRIVEALONE,All,6212677.0,Work
SHARED2,All,1099680.0,Work
SHARED3,All,423652.0,Work
WALK,All,476379.0,Work
BIKE,All,101821.0,Work
WALK-TRANSIT,All,688002.0,Work
PNR-TRANSIT,All,189041.0,Work
KNR-TRANSIT,All,74916.0,Work
TNC-TRANSIT,All,11282.0,Work
TAXI,All,22875.0,Work
TNC-REG,All,49918.0,Work
TNC-SHARED,All,27109.0,Work
SCHOOLBUS,All,0.0,Work
All,All,9377351.0,Work
DRIVEALONE,DRIVEALONE,249148.0,University
SHARED2,DRIVEALONE,0.0,University
SHARED3,DRIVEALONE,0.0,University
WALK,DRIVEALONE,4583.0,University
BIKE,DRIVEALONE,0.0,University
WALK-TRANSIT,DRIVEALONE,0.0,University
PNR-TRANSIT,DRIVEALONE,0.0,University
KNR-TRANSIT,DRIVEALONE,0.0,University
TNC-TRANSIT,DRIVEALONE,0.0,University
TAXI,DRIVEALONE,0.0,University
TNC-REG,DRIVEALONE,0.0,University
TNC-SHARED,DRIVEALONE,0.0,University
SCHOOLBUS,DRIVEALONE,0.0,University
All,DRIVEALONE,253731.0,University
DRIVEALONE,SHARED2,34319.0,University
SHARED2,SHARED2,76103.0,University
SHARED3,SHARED2,0.0,University
WALK,SHARED2,5225.0,University
BIKE,SHARED2,0.0,University
WALK-TRANSIT,SHARED2,0.0,University
PNR-TRANSIT,SHARED2,0.0,University
KNR-TRANSIT,SHARED2,0.0,University
TNC-TRANSIT,SHARED2,0.0,University
TAXI,SHARED2,0.0,University
TNC-REG,SHARED2,0.0,University
TNC-SHARED,SHARED2,0.0,University
SCHOOLBUS,SHARED2,0.0,University
All,SHARED2,115647.0,University
DRIVEALONE,SHARED3,6992.0,University
SHARED2,SHARED3,7372.0,University
SHARED3,SHARED3,20053.0,University
WALK,SHARED3,1796.0,University
BIKE,SHARED3,0.0,University
WALK-TRANSIT,SHARED3,0.0,University
PNR-TRANSIT,SHARED3,0.0,University
KNR-TRANSIT,SHARED3,0.0,University
TNC-TRANSIT,SHARED3,0.0,University
TAXI,SHARED3,0.0,University
TNC-REG,SHARED3,0.0,University
TNC-SHARED,SHARED3,0.0,University
SCHOOLBUS,SHARED3,0.0,University
All,SHARED3,36213.0,University
DRIVEALONE,WALK,0.0,University
SHARED2,WALK,0.0,University
SHARED3,WALK,0.0,University
WALK,WALK,68449.0,University
BIKE,WALK,0.0,University
WALK-TRANSIT,WALK,0.0,University
PNR-TRANSIT,WALK,0.0,University
KNR-TRANSIT,WALK,0.0,University
TNC-TRANSIT,WALK,0.0,University
TAXI,WALK,0.0,University
TNC-REG,WALK,0.0,University
TNC-SHARED,WALK,0.0,University
SCHOOLBUS,WALK,0.0,University
All,WALK,68449.0,University
DRIVEALONE,BIKE,0.0,University
SHARED2,BIKE,0.0,University
SHARED3,BIKE,0.0,University
WALK,BIKE,0.0,University
BIKE,BIKE,6439.0,University
WALK-TRANSIT,BIKE,0.0,University
PNR-TRANSIT,BIKE,0.0,University
KNR-TRANSIT,BIKE,0.0,University
TNC-TRANSIT,BIKE,0.0,University
TAXI,BIKE,0.0,University
TNC-REG,BIKE,0.0,University
TNC-SHARED,BIKE,0.0,University
SCHOOLBUS,BIKE,0.0,University
All,BIKE,6439.0,University
DRIVEALONE,WALK-TRANSIT,0.0,University
SHARED2,WALK-TRANSIT,0.0,University
SHARED3,WALK-TRANSIT,0.0,University
WALK,WALK-TRANSIT,27745.0,University
BIKE,WALK-TRANSIT,0.0,University
WALK-TRANSIT,WALK-TRANSIT,84211.0,University
PNR-TRANSIT,WALK-TRANSIT,0.0,University
KNR-TRANSIT,WALK-TRANSIT,0.0,University
TNC-TRANSIT,WALK-TRANSIT,0.0,University
TAXI,WALK-TRANSIT,108.0,University
