grouped_tour_mode,auto_suff,tours,purpose
WALK-TRANSIT,0,16318.0,Ind-Discretionary
PNR-TRANSIT,0,21.0,Ind-Discretionary
KNR-TRANSIT,0,696.0,Ind-Discretionary
TNC-TRANSIT,0,208.0,Ind-Discretionary
TAXI,0,2340.0,Ind-Discretionary
TNC-REG,0,3946.0,Ind-Discretionary
TNC-SHARED,0,4154.0,Ind-Discretionary
SCHOOLBUS,0,0.0,Ind-Discretionary
All,0,155114.0,Ind-Discretionary
DRIVEALONE,1,56648.0,Ind-Discretionary
SHARED2,1,48890.0,Ind-Discretionary
SHARED3,1,40505.0,Ind-Discretionary
WALK,1,57915.0,Ind-Discretionary
BIKE,1,11463.0,Ind-Discretionary
WALK-TRANSIT,1,8862.0,Ind-Discretionary
PNR-TRANSIT,1,163.0,Ind-Discretionary
KNR-TRANSIT,1,813.0,Ind-Discretionary
TNC-TRANSIT,1,158.0,Ind-Discretionary
TAXI,1,1512.0,Ind-Discretionary
TNC-REG,1,3586.0,Ind-Discretionary
TNC-SHARED,1,1305.0,Ind-Discretionary
SCHOOLBUS,1,0.0,Ind-Discretionary
All,1,231820.0,Ind-Discretionary
DRIVEALONE,2,986608.0,Ind-Discretionary
SHARED2,2,412069.0,Ind-Discretionary
SHARED3,2,371250.0,Ind-Discretionary
WALK,2,277749.0,Ind-Discretionary
BIKE,2,28642.0,Ind-Discretionary
WALK-TRANSIT,2,15662.0,Ind-Discretionary
PNR-TRANSIT,2,1374.0,Ind-Discretionary
KNR-TRANSIT,2,793.0,Ind-Discretionary
TNC-TRANSIT,2,289.0,Ind-Discretionary
TAXI,2,7488.0,Ind-Discretionary
TNC-REG,2,16473.0,Ind-Discretionary
TNC-SHARED,2,9062.0,Ind-Discretionary
SCHOOLBUS,2,0.0,Ind-Discretionary
All,2,2127459.0,Ind-Discretionary
DRIVEALONE,All,1050969.0,Ind-Discretionary
SHARED2,All,473950.0,Ind-Discretionary
SHARED3,All,424949.0,Ind-Discretionary
WALK,All,419668.0,Ind-Discretionary
BIKE,All,49634.0,Ind-Discretionary
WALK-TRANSIT,All,40841.0,Ind-Discretionary
PNR-TRANSIT,All,1558.0,Ind-Discretionary
KNR-TRANSIT,All,2302.0,Ind-Discretionary
TNC-TRANSIT,All,656.0,Ind-Discretionary
TAXI,All,11339.0,Ind-Discretionary
TNC-REG,All,24005.0,Ind-Discretionary
TNC-SHARED,All,14520.0,Ind-Discretionary
SCHOOLBUS,All,0.0,Ind-Discretionary
All,All,2514391.0,Ind-Discretionary
DRIVEALONE,0,0.0,Joint-Maintenance
SHARED2,0,0.0,Joint-Maintenance
SHARED3,0,0.0,Joint-Maintenance
WALK,0,4753.0,Joint-Maintenance
BIKE,0,87.0,Joint-Maintenance
WALK-TRANSIT,0,1855.0,Joint-Maintenance
PNR-TRANSIT,0,1.0,Joint-Maintenance
KNR-TRANSIT,0,39.0,Joint-Maintenance
TNC-TRANSIT,0,25.0,Joint-Maintenance
TAXI,0,0.0,Joint-Maintenance
TNC-REG,0,0.0,Joint-Maintenance
TNC-SHARED,0,0.0,Joint-Maintenance
SCHOOLBUS,0,0.0,Joint-Maintenance
All,0,6760.0,Joint-Maintenance
DRIVEALONE,1,0.0,Joint-Maintenance
SHARED2,1,25832.0,Joint-Maintenance
SHARED3,1,3495.0,Joint-Maintenance
WALK,1,3398.0,Joint-Maintenance
