coefficient_name,value,constrain
sr2_ASC_auto_sufficient_school,-2.033335877,F
sr2_ASC_no_auto_school,-0.617456002,F
sr3p_ASC_auto_deficient_school,-1.056820354,F
sr3p_ASC_auto_sufficient_school,-1.518069978,F
sr3p_ASC_no_auto_school,0.816857055,F
taxi_ASC_auto_deficient_school,-2.072398714,F
taxi_ASC_auto_sufficient_school,-2.541611205,F
taxi_ASC_no_auto_school,1.171278987,F
tnc_shared_ASC_auto_deficient_school,-999,T
tnc_shared_ASC_auto_sufficient_school,-999,T
tnc_shared_ASC_no_auto_school,-999,T
tnc_single_ASC_auto_deficient_school,-2.273317631,F
tnc_single_ASC_auto_sufficient_school,-4.495118371,F
tnc_single_ASC_no_auto_school,-999,T
tnc_transit_ASC_auto_deficient_school,-999,T
tnc_transit_ASC_auto_sufficient_school,-999,T
tnc_transit_ASC_no_auto_school,-999,T
tnc_transit_CBD_ASC_school,0,T
walk_ASC_auto_deficient_school,1.391048568,F
walk_ASC_auto_sufficient_school,1.257086575,F
walk_ASC_no_auto_school,3.467037489,F
walk_transit_ASC_auto_deficient_school,-0.239329572,F
walk_transit_ASC_auto_sufficient_school,-1.036442042,F
walk_transit_ASC_no_auto_school,3.618501532,F
walk_transit_CBD_ASC_school,0.779,F
CTArail_ASC_shopping,0,T
Express_bus_ASC_shopping,0,T
Metrarail_ASC_shopping,0,T
bike_ASC_auto_deficient_shopping,-1.87658757,F
bike_ASC_auto_sufficient_shopping,-3.311586058,F
bike_ASC_no_auto_shopping,3.112583031,F
coef_age010_trn_shopping,0,T
coef_age1619_da_shopping,-1,F
coef_age16p_sr_shopping,-0.199,F
coef_hhsize1_sr_shopping,-0.84,F
coef_hhsize2_sr_shopping,-0.848,F
knr_transit_ASC_auto_deficient_shopping,-999,T
knr_transit_ASC_auto_sufficient_shopping,-999,T
knr_transit_ASC_no_auto_shopping,-999,T
knr_transit_CBD_ASC_shopping,0,T
pnr_transit_ASC_auto_deficient_shopping,-999,T
pnr_transit_ASC_auto_sufficient_shopping,-999,T
pnr_transit_ASC_no_auto_shopping,-999,T
pnr_transit_CBD_ASC_shopping,0,T
sr2_ASC_auto_deficient_shopping,-0.97092536,F
sr2_ASC_auto_sufficient_shopping,-0.586283587,F
sr2_ASC_no_auto_shopping,1.945735307,F
sr3p_ASC_auto_deficient_shopping,-0.728213309,F
sr3p_ASC_auto_sufficient_shopping,-1.131312482,F
sr3p_ASC_no_auto_shopping,2.161568843,F
taxi_ASC_auto_deficient_shopping,-999,T
taxi_ASC_auto_sufficient_shopping,-2.894290607,F
taxi_ASC_no_auto_shopping,-999,T
tnc_shared_ASC_auto_deficient_shopping,-999,T
tnc_shared_ASC_auto_sufficient_shopping,-999,T
tnc_shared_ASC_no_auto_shopping,2.462867213,F
tnc_single_ASC_auto_deficient_shopping,-1.789239615,F
tnc_single_ASC_auto_sufficient_shopping,-3.438152587,F
tnc_single_ASC_no_auto_shopping,2.521350055,F
tnc_transit_ASC_auto_deficient_shopping,-999,T
tnc_transit_ASC_auto_sufficient_shopping,-999,T
tnc_transit_ASC_no_auto_shopping,-999,T
tnc_transit_CBD_ASC_shopping,0,T
walk_ASC_auto_deficient_shopping,4.381424697,F
walk_ASC_auto_sufficient_shopping,3.492316886,F
walk_ASC_no_auto_shopping,8.185923067,F
walk_transit_ASC_auto_deficient_shopping,0.954576443,F
walk_transit_ASC_auto_sufficient_shopping,0.091104724,F
walk_transit_ASC_no_auto_shopping,5.997404029,F
walk_transit_CBD_ASC_shopping,0,T
CTArail_ASC_social,0.533,F
Express_bus_ASC_social,0,T
Metrarail_ASC_social,0,F
bike_ASC_auto_deficient_social,-0.26918292,F
bike_ASC_auto_sufficient_social,-1.086966132,F
bike_ASC_no_auto_social,3.510122832,F
coef_age010_trn_social,0,T
coef_age1619_da_social,0,T
coef_age16p_sr_social,0,T
coef_hhsize1_sr_social,-0.753,F
coef_hhsize2_sr_social,-0.883,F
knr_transit_ASC_auto_deficient_social,-999,T
knr_transit_ASC_auto_sufficient_social,-0.280637155,F
knr_transit_ASC_no_auto_social,4.798952478,F
knr_transit_CBD_ASC_social,0,T
pnr_transit_ASC_auto_deficient_social,-999,T
pnr_transit_ASC_auto_sufficient_social,-999,T
pnr_transit_ASC_no_auto_social,-999,T
pnr_transit_CBD_ASC_social,0,T
sr2_ASC_auto_deficient_social,-0.155635139,F
sr2_ASC_auto_sufficient_social,-0.908341134,F
sr2_ASC_no_auto_social,1.277750416,F
sr3p_ASC_auto_deficient_social,-1.131528305,F
sr3p_ASC_auto_sufficient_social,-1.092783865,F
sr3p_ASC_no_auto_social,1.788997832,F
taxi_ASC_auto_deficient_social,-0.89924095,F
taxi_ASC_auto_sufficient_social,-999,T
taxi_ASC_no_auto_social,-999,T
tnc_shared_ASC_auto_deficient_social,-0.753646138,F
tnc_shared_ASC_auto_sufficient_social,-2.090108066,F
tnc_shared_ASC_no_auto_social,3.001840774,F
tnc_single_ASC_auto_deficient_social,-1.345836492,F
tnc_single_ASC_auto_sufficient_social,-2.248760584,F
tnc_single_ASC_no_auto_social,3.15158559,F
tnc_transit_ASC_auto_deficient_social,-999,T
